sample,host_elapsed_s,mono_ns,phase,door_deg,lip_height_cm,shoulder_deg,shoulder_load_raw,elbow_load_raw,wrist_load_raw,arm_target_error_deg,torque_command,target_door_deg,q_0_deg,q_1_deg,q_2_deg,q_3_deg,q_4_deg,q_5_deg
32,0.605701763,7164303587450,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
33,0.624189272,7164322074959,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
34,0.640925559,7164338811246,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
35,0.658628398,7164356514085,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
36,0.676528731,7164374414418,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
37,0.694594726,7164392480413,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
38,0.712789758,7164410675445,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
39,0.730734019,7164428619706,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
40,0.748993911,7164446879598,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
41,0.766941465,7164464827152,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
42,0.784784005,7164482669692,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
43,0.802940779,7164500826466,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
44,0.820984194,7164518869881,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
45,0.839415867,7164537301554,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
46,0.85616282,7164554048507,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
47,0.873898367,7164571784054,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
